state_name,population_male,population_female,literates_male,literates_female
MAHARASHTRA,19961736,17760400,16794767,13719511
UTTAR PRADESH,13433369,11869556,9858998,7810410
ANDHRA PRADESH,9192368,8979247,7178688,6285081
WEST BENGAL,9357777,8705732,7823632,6782848
GUJARAT,9541688,8293361,7921271,6233457
KARNATAKA,8112840,7687056,6667390,5807584
TAMIL NADU,6957261,6922134,5920803,5464897
NCT OF DELHI,7201322,6280675,5816335,4562691
MADHYA PRADESH,5761143,5261948,4638175,3753251
RAJASTHAN,5484470,4958546,4313228,3267301
BIHAR,3558722,3155794,2680498,2097892
HARYANA,3181968,2770255,2524787,1959889
PUNJAB,3106473,2715403,2449201,1981877
JHARKHAND,2247819,2030440,1803870,1416157
CHHATTISGARH,1612019,1525899,1321046,1092429
ORISSA,1560423,1442811,1335800,1122982
KERALA,1335615,1420358,1173248,1228309
JAMMU & KASHMIR,953292,851695,693916,532299
ASSAM,720132,671022,613955,540916
UTTARAKHAND,706939,633458,561383,457996
CHANDIGARH,525226,435561,426071,317183
PUDUCHERRY,266359,275442,227082,213043
TRIPURA,199616,200072,174524,169109
MIZORAM,143803,148019,125256,128332
MANIPUR,128931,136055,110809,108452
HIMACHAL PRADESH,93364,76394,82486,65313
MEGHALAYA,70028,72979,59420,59893
NAGALAND,65017,58760,51604,44042
ANDAMAN & NICOBAR ISLANDS,53247,47361,44908,37000
UNKNOWN,100000,200000,30000,40000